,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
340,pisco,PE,-13.7,-76.2167,62.65,72,0,8.05,clear sky
341,qasigiannguit,GL,68.8193,-51.1922,50.25,55,22,6.64,few clouds
342,tambopata,PE,-12.7333,-69.1833,75.09,83,75,2.3,broken clouds
343,kourou,GF,5.1552,-52.6478,86.11,67,78,7.05,broken clouds
344,naze,JP,28.3667,129.4833,79.72,90,96,7.25,overcast clouds
345,andenes,NO,69.3143,16.1194,53.58,87,75,12.66,broken clouds
346,maniitsoq,GL,65.4167,-52.9,45.57,78,9,7.07,clear sky
347,takefu,JP,35.9039,136.1669,73.63,95,95,6.51,overcast clouds
348,chokurdakh,RU,70.6333,147.9167,43.25,64,27,7.47,scattered clouds
349,birnin kebbi,NG,12.4539,4.1975,95.04,38,27,9.98,scattered clouds
350,kavieng,PG,-2.5744,150.7967,80.38,83,100,15.39,light rain
351,balaipungut,ID,1.05,101.2833,76.42,96,95,0.74,overcast clouds
352,itainopolis,BR,-7.4469,-41.4783,93.97,26,8,10.83,clear sky
353,ascension,US,30.2169,-90.9001,87.17,81,0,4.61,clear sky
354,tual,ID,-5.6667,132.75,78.26,81,100,21.21,overcast clouds
355,huangmei,CN,30.1924,116.025,85.39,73,99,1.23,overcast clouds
356,russell,US,32.3502,-85.1999,79.88,74,100,0.6,moderate rain
357,el paso,US,31.8001,-106.2005,87.13,37,20,0.0,few clouds
358,hommelvik,NO,63.4108,10.7942,51.76,87,75,27.63,broken clouds
359,caravelas,BR,-17.7125,-39.2481,75.85,76,85,6.93,overcast clouds
360,waitakere,NZ,-36.9175,174.6577,52.86,96,75,14.97,broken clouds
361,abong mbang,CM,3.9833,13.1833,75.15,92,38,2.08,moderate rain
362,boguchany,RU,58.3814,97.4531,50.81,71,27,2.98,scattered clouds
363,sola,VU,-13.8833,167.55,79.54,73,29,2.62,scattered clouds
364,dingle,PH,10.9995,122.6711,76.14,92,44,1.68,scattered clouds
365,salalah,OM,17.0151,54.0924,78.89,94,75,8.05,broken clouds
366,cefa,RO,46.9167,21.7333,90.41,25,0,9.22,clear sky
367,havelock,US,34.8791,-76.9013,86.95,83,100,5.01,overcast clouds
368,tadine,NC,-21.55,167.8833,69.69,76,100,4.38,overcast clouds
369,high rock,BS,26.6208,-78.2833,87.82,67,51,13.44,broken clouds
370,muros,ES,42.7762,-9.0603,86.09,37,100,6.89,overcast clouds
371,kilifi,KE,-3.6305,39.8499,74.8,82,65,15.7,light rain
372,brandon,US,27.9378,-82.2859,92.05,79,40,7.0,scattered clouds
373,lae,PG,-6.7221,146.9847,76.42,85,100,2.55,overcast clouds
374,broome,US,42.2506,-75.833,73.69,69,4,3.0,clear sky
375,coahuayana,MX,18.7333,-103.6833,86.5,69,93,1.7,overcast clouds
376,koungou,YT,-12.7336,45.2042,76.71,73,0,12.66,clear sky
377,hailin,CN,44.5833,129.4167,63.93,96,90,3.58,overcast clouds
378,tamiahua,MX,21.2667,-97.45,84.94,69,26,7.18,scattered clouds
379,evensk,RU,61.95,159.2333,62.28,71,19,11.86,few clouds
380,killybegs,IE,54.6333,-8.45,60.51,81,99,12.64,overcast clouds
381,hammerfest,NO,70.6634,23.6821,54.05,100,100,5.75,mist
382,hirara,JP,24.8,125.2833,84.72,85,95,15.57,light rain
383,picui,BR,-6.5106,-36.3469,80.47,56,57,17.9,broken clouds
384,camapua,BR,-19.5314,-54.0439,91.13,16,43,16.4,scattered clouds
385,sauda,NO,59.6506,6.3542,58.68,76,100,7.11,overcast clouds
386,celestun,MX,20.8667,-90.4,87.03,60,100,8.12,overcast clouds
387,galle,LK,6.0367,80.217,78.48,88,23,12.17,few clouds
388,neftcala,AZ,39.3742,49.2472,81.97,62,0,6.76,clear sky
389,lakes entrance,AU,-37.8811,147.981,42.17,72,100,8.5,overcast clouds
390,torquay,GB,50.4638,-3.5143,75.74,47,25,8.01,scattered clouds
391,senneterre,CA,48.3835,-77.2328,69.31,39,43,6.42,scattered clouds
392,olsztyn,PL,53.7799,20.4942,69.76,53,67,10.51,broken clouds
393,turukhansk,RU,65.8167,87.9833,51.58,75,73,5.95,broken clouds
394,saint pete beach,US,27.7253,-82.7412,92.16,66,0,8.05,clear sky
395,nchelenge,ZM,-9.3451,28.734,71.89,56,26,4.97,scattered clouds
396,brae,GB,60.3964,-1.353,54.23,77,94,12.75,overcast clouds
397,sembakung,ID,3.8167,117.25,71.89,99,99,0.72,overcast clouds
398,launceston,AU,-41.45,147.1667,44.24,93,100,5.75,overcast clouds
399,sangmelima,CM,2.9333,11.9833,72.27,92,83,4.16,light rain
400,changli,CN,39.7042,119.1506,73.51,68,19,4.32,few clouds
401,mizdah,LY,31.4451,12.9801,90.55,18,0,8.68,clear sky
402,gumdag,TM,39.2061,54.5906,98.94,11,0,12.62,clear sky
403,murray bridge,AU,-35.1167,139.2667,46.13,87,2,6.6,clear sky
404,klaksvik,FO,62.2266,-6.589,54.52,80,69,13.71,broken clouds
405,north platte,US,41.1239,-100.7654,85.89,42,0,8.05,clear sky
406,nishihara,JP,26.1842,127.7558,83.68,94,100,8.05,overcast clouds
407,valls,ES,41.2861,1.2499,84.72,52,40,6.91,scattered clouds
408,serowe,BW,-22.3833,26.7167,63.55,26,3,7.0,clear sky
409,christchurch,NZ,-43.5333,172.6333,41.47,92,75,2.3,broken clouds
410,san cristobal,VE,7.7669,-72.225,80.78,37,31,6.51,scattered clouds
411,lengshuijiang,CN,27.6881,111.4294,82.56,75,100,1.45,overcast clouds
412,carutapera,BR,-1.195,-46.02,83.34,73,73,11.68,broken clouds
413,shingu,JP,33.7333,135.9833,73.85,95,94,0.96,light rain
414,moose factory,CA,51.2585,-80.6094,71.6,43,40,4.61,scattered clouds
415,ust-omchug,RU,61.15,149.6333,64.54,76,88,4.36,overcast clouds
416,beloha,MG,-25.1667,45.05,66.02,77,0,5.68,clear sky
417,morondava,MG,-20.2833,44.2833,74.59,65,0,16.49,clear sky
418,lokachi,UA,50.737,24.6494,69.57,66,68,7.02,broken clouds
419,tiznit,MA,29.5833,-9.5,91.31,29,1,8.34,clear sky
420,togur,RU,58.3631,82.8265,54.18,83,58,4.5,broken clouds
421,vanimo,PG,-2.6741,141.3028,77.09,87,88,1.23,overcast clouds
422,morant bay,JM,17.8815,-76.4093,90.72,67,100,10.29,overcast clouds
423,danbury,US,41.3948,-73.454,83.17,67,75,4.61,broken clouds
424,omboue,GA,-1.5746,9.2618,75.94,71,45,9.84,scattered clouds
425,mantsala,FI,60.6609,25.2838,66.76,55,78,10.51,broken clouds
426,lipari,IT,38.4674,14.954,84.33,48,0,5.99,clear sky
427,ilabaya,PE,-17.4208,-70.5133,71.08,21,11,8.48,few clouds
428,virginia beach,US,36.8529,-75.978,87.03,75,75,3.44,broken clouds
429,kandrian,PG,-6.2167,149.55,78.35,88,100,14.38,moderate rain
430,birao,CF,10.2849,22.7882,81.55,62,95,5.19,overcast clouds
431,kosonsoy,UZ,41.2561,71.5508,81.16,24,0,3.11,clear sky
432,lagoa,PT,39.05,-27.9833,69.94,92,100,15.32,overcast clouds
433,palana,RU,59.1167,159.9667,50.22,90,86,6.31,overcast clouds
434,arman,RU,59.7,150.1667,60.46,88,46,2.3,scattered clouds
435,amapa,BR,1.0,-52.0,83.08,73,89,4.94,overcast clouds
436,antofagasta,CL,-23.65,-70.4,60.08,65,47,7.7,scattered clouds
437,vanavara,RU,60.34,102.2797,54.14,87,100,1.54,overcast clouds
438,ushumun,RU,52.7833,126.5333,64.96,85,72,3.96,broken clouds
439,sao desiderio,BR,-12.3633,-44.9733,91.35,26,42,6.73,scattered clouds
440,necochea,AR,-38.5473,-58.7368,54.9,59,100,12.35,overcast clouds
441,umm lajj,SA,25.0213,37.2685,86.02,67,71,8.5,broken clouds
442,gose,JP,34.45,135.7333,78.06,96,83,1.3,light rain
443,santa isabel do rio negro,BR,-0.4139,-65.0192,77.5,86,100,2.1,overcast clouds
444,vila velha,BR,-20.3297,-40.2925,75.15,86,75,5.75,broken clouds
445,balabagan,PH,7.5264,124.1142,77.95,89,98,2.84,overcast clouds
446,ayan,RU,56.45,138.1667,59.13,95,99,4.12,overcast clouds
447,kjollefjord,NO,70.9457,27.3465,60.85,82,75,3.44,broken clouds
448,jacqueville,CI,5.2052,-4.4146,77.27,81,100,13.53,overcast clouds
449,talara,PE,-4.5772,-81.2719,68.76,73,0,24.16,clear sky
450,mozarlandia,BR,-14.7447,-50.5706,94.1,22,66,10.42,broken clouds
451,tomari,RU,47.7658,142.0683,57.38,92,87,8.61,overcast clouds
452,umm kaddadah,SD,13.6017,26.6876,91.24,36,67,1.88,light rain
453,labuhan,ID,-6.8844,112.2051,77.97,88,99,8.19,overcast clouds
454,prince george,CA,53.9166,-122.753,58.44,80,20,5.75,few clouds
455,lakhimpur,IN,27.95,80.7667,86.9,59,91,11.45,overcast clouds
456,kindu,CD,-2.95,25.95,85.62,44,87,2.01,overcast clouds
457,woodburn,US,45.1437,-122.8554,66.45,67,0,7.0,clear sky
458,lasa,IT,46.6166,10.7002,85.69,41,65,2.98,broken clouds
459,bahir dar,ET,11.5936,37.3908,62.53,90,99,4.16,light rain
460,bowen,AU,-20.0167,148.2333,54.01,55,6,10.4,clear sky
461,kalianget,ID,-7.05,113.9333,80.53,79,55,11.86,broken clouds
462,aksha,RU,50.2814,113.2867,59.16,90,75,1.01,broken clouds
463,rabo de peixe,PT,37.8,-25.5833,74.71,64,40,16.11,scattered clouds
464,uvira,CD,-3.4067,29.1458,77.16,61,40,6.29,scattered clouds
465,coquimbo,CL,-29.9533,-71.3436,55.13,87,75,2.3,broken clouds
466,jamame,SO,0.0722,42.7506,75.43,87,41,13.49,light rain
467,mumford,GH,5.2618,-0.759,76.23,84,86,11.99,overcast clouds
468,hervey bay,AU,-25.2986,152.8535,56.39,74,11,12.57,few clouds
469,tombouctou,ML,20.0,-3.0,110.73,11,40,12.26,scattered clouds
470,kurilsk,RU,45.2333,147.8833,50.97,93,56,8.39,broken clouds
471,bilibino,RU,68.0546,166.4372,42.93,74,10,5.59,clear sky
472,tiksi,RU,71.6872,128.8694,41.32,90,88,3.49,light rain
473,north bend,US,43.4065,-124.2243,60.93,93,40,8.05,mist
474,sakaiminato,JP,35.55,133.2333,78.78,94,75,9.22,broken clouds
475,katherine,AU,-14.4667,132.2667,50.32,66,6,5.75,clear sky
476,biak,ID,-0.9131,122.8766,74.35,92,100,5.66,moderate rain
477,quesnel,CA,52.9999,-122.5029,55.9,88,40,4.61,scattered clouds
478,khandyga,RU,62.6667,135.6,64.81,81,40,2.21,scattered clouds
479,kingisepp,RU,59.3733,28.6134,60.87,82,100,3.8,light rain
480,lompoc,US,34.6391,-120.4579,61.92,83,100,4.61,overcast clouds
481,vila,PT,42.0304,-8.1588,77.88,19,99,3.51,overcast clouds
482,ures,MX,29.4333,-110.4,90.77,50,5,1.95,clear sky
483,sobolevo,RU,54.4299,31.8996,63.39,86,52,10.22,light rain
484,pangoa,PE,-12.1167,-73.0,79.74,59,100,3.13,overcast clouds
485,ferrol,ES,43.4832,-8.2369,91.92,67,100,8.08,overcast clouds
486,aranos,NA,-24.1333,19.1167,64.81,20,0,5.88,clear sky
487,yamada,JP,39.4667,141.95,66.78,90,98,4.63,overcast clouds
488,krasnoselkup,RU,65.7,82.4667,57.42,60,100,6.08,overcast clouds
489,chegdomyn,RU,51.1167,133.0167,61.81,96,20,2.44,few clouds
490,kamaishi,JP,39.2667,141.8833,66.92,90,96,3.76,light rain
491,anito,PH,12.4497,125.2886,78.75,90,73,4.92,broken clouds
492,todos santos,MX,23.45,-110.2167,96.04,61,24,6.02,few clouds
493,gemena,CD,3.25,19.7667,71.24,99,100,4.21,very heavy rain
494,camana,PE,-16.6228,-72.7111,62.87,67,35,9.93,scattered clouds
495,conroe,US,30.3119,-95.456,91.74,64,40,6.91,scattered clouds
496,clyde river,CA,70.4692,-68.5914,44.83,76,0,8.05,clear sky
497,banda aceh,ID,5.5577,95.3222,80.4,79,56,10.13,broken clouds
498,ariquemes,BR,-9.9133,-63.0408,94.08,30,11,3.91,few clouds
499,garowe,SO,8.4054,48.4845,86.86,39,65,25.84,broken clouds
500,miri,MY,4.4148,114.0089,75.34,100,40,1.14,scattered clouds
501,saint-andre-les-vergers,FR,48.2853,4.0521,89.64,29,0,17.27,clear sky
502,nyaunglebin,MM,17.95,96.7333,76.19,94,91,5.44,overcast clouds
503,acari,PE,-15.4311,-74.6158,69.55,49,58,7.31,broken clouds
504,baruun-urt,MN,46.6806,113.2792,68.22,48,38,0.65,scattered clouds
505,mankato,US,44.1636,-93.9994,78.96,63,26,10.89,scattered clouds
506,djambala,CG,-2.5447,14.7533,87.26,27,38,5.79,scattered clouds
507,eqbaliyeh,IR,35.3022,51.5358,98.42,11,0,8.19,clear sky
508,yakeshi,CN,49.2833,120.7333,60.75,96,100,4.68,overcast clouds
509,athens,GR,37.9795,23.7162,87.26,33,0,20.71,clear sky
510,novyy urgal,RU,51.0736,132.5642,61.79,96,6,2.04,clear sky
511,westport,US,41.1415,-73.3579,84.9,76,0,5.75,clear sky
512,camaqua,BR,-30.8511,-51.8122,57.51,98,98,6.78,light rain
513,pitimbu,BR,-7.4706,-34.8086,84.79,68,14,16.35,few clouds
514,marienburg,PL,54.0359,19.0266,69.89,52,97,13.6,overcast clouds
515,mach,PK,29.8637,67.3298,76.87,82,99,1.97,overcast clouds
516,usinsk,RU,65.9939,57.5281,81.99,44,63,7.25,broken clouds
517,coruripe,BR,-10.1256,-36.1756,78.87,69,8,11.72,clear sky
518,taoudenni,ML,22.6783,-3.9836,116.19,6,43,11.88,scattered clouds
519,belyy yar,RU,53.6039,91.3903,56.86,70,0,0.0,light rain
520,dana point,US,33.467,-117.6981,72.59,84,48,4.0,scattered clouds
521,artyom,AZ,40.4723,50.333,82.54,65,0,13.4,clear sky
522,porbandar,IN,21.6422,69.6093,80.58,94,75,6.91,drizzle
523,jacmel,HT,18.2342,-72.5347,85.84,62,90,5.95,overcast clouds
524,intipuca,SV,13.1969,-88.0544,84.15,53,96,5.95,overcast clouds
525,meulaboh,ID,4.1363,96.1285,78.57,88,29,6.17,scattered clouds
526,rorvik,NO,64.8621,11.2373,51.78,83,100,23.35,overcast clouds
527,casa nova,BR,-9.4167,-41.1333,83.82,37,2,18.16,clear sky
528,rajampet,IN,14.1833,79.1667,83.39,55,85,20.45,overcast clouds
529,san fernando,PH,15.0286,120.6898,85.73,87,76,1.1,broken clouds
530,denpasar,ID,-8.65,115.2167,78.46,83,20,8.05,few clouds
531,adeje,ES,28.1227,-16.726,78.87,62,0,16.11,clear sky
532,ushtobe,KZ,45.2514,77.9838,77.05,25,0,16.78,clear sky
533,lata,PT,40.1629,-8.3327,93.49,39,67,9.6,broken clouds
534,verdun,FR,49.25,5.3333,91.17,26,8,15.21,clear sky
535,touros,BR,-5.1989,-35.4608,80.01,78,40,16.8,light rain
536,shaowu,CN,27.3409,117.4831,82.22,73,100,0.51,overcast clouds
537,jha jha,IN,24.7667,86.3667,89.91,57,54,13.33,broken clouds
538,horodnya,UA,51.8909,31.5974,70.32,66,16,9.91,few clouds
539,monte patria,CL,-30.6919,-70.9467,47.37,91,100,4.16,overcast clouds
540,yatou,CN,37.15,122.3833,74.25,92,35,2.17,scattered clouds
541,deogarh,IN,21.5333,84.7333,78.67,91,100,2.66,overcast clouds
542,nhulunbuy,AU,-12.2333,136.7667,70.41,64,75,12.66,broken clouds
543,richards bay,ZA,-28.783,32.0377,68.05,62,0,10.85,clear sky
544,soyo,AO,-6.1349,12.3689,74.17,74,10,10.11,clear sky
545,choma,ZM,-16.8065,26.9531,59.16,47,63,5.5,broken clouds
546,chiang rai,TH,19.9167,99.9167,80.58,96,75,5.75,light rain
547,poso,ID,-1.3959,120.7524,74.34,93,100,4.14,light rain
548,jalu,LY,29.0331,21.5482,92.93,21,0,14.18,clear sky
549,bandarbeyla,SO,9.4942,50.8122,78.76,79,79,32.91,broken clouds
550,bingol,TR,38.8847,40.4939,81.52,42,0,9.44,clear sky
551,flinders,AU,-34.5833,150.8552,50.18,70,21,7.0,few clouds
552,garden city,US,42.3256,-83.331,77.92,54,40,9.22,scattered clouds
553,wajima,JP,37.4,136.9,74.95,92,99,8.25,overcast clouds
554,vestmanna,FO,62.1564,-7.1664,52.72,82,75,12.66,broken clouds
555,gat,IL,31.61,34.7642,85.41,4,0,10.0,clear sky
556,sapele,NG,5.8941,5.6767,79.21,80,79,8.08,light rain
557,buala,SB,-8.145,159.5921,77.07,78,89,3.89,overcast clouds
558,namatanai,PG,-3.6667,152.4333,79.07,85,100,9.4,light rain
559,north branch,US,45.5113,-92.9802,78.85,75,66,1.01,broken clouds
560,nome,US,64.5011,-165.4064,46.47,100,100,0.0,mist
561,dharchula,IN,29.85,80.5333,72.45,92,100,4.61,overcast clouds
562,verkh-suetka,RU,53.3,80.05,60.8,53,97,5.26,overcast clouds
563,lorengau,PG,-2.0226,147.2712,81.41,75,100,3.0,overcast clouds
564,burlington,US,39.8835,-74.6413,90.09,52,0,5.75,clear sky
565,qandala,SO,11.472,49.8728,91.51,52,86,9.28,overcast clouds
566,buraydah,SA,26.326,43.975,108.05,10,71,10.13,broken clouds
567,san joaquin,US,37.9333,-121.3011,74.32,63,0,4.61,clear sky
568,sokolow podlaski,PL,52.4068,22.2531,71.38,48,2,8.95,clear sky
569,najran,SA,17.4924,44.1277,95.65,11,100,14.23,overcast clouds
570,ereymentau,KZ,51.6199,73.1033,72.03,37,11,3.76,few clouds
571,ganzhou,CN,28.8184,115.4327,83.75,75,100,3.31,overcast clouds
572,praya,CV,14.9215,-23.5087,82.94,54,20,17.27,few clouds
573,bay-khaak,RU,51.1667,94.5,51.69,84,100,2.86,overcast clouds
574,buchanan,LR,5.8808,-10.0467,76.6,85,100,10.65,light rain
575,roald,NO,62.5833,6.1333,57.16,67,40,12.66,scattered clouds
576,palmer,US,42.1584,-72.3287,81.64,52,7,3.58,clear sky
577,porto novo,BJ,6.4965,2.6036,80.42,83,100,10.65,overcast clouds
578,tucupita,VE,9.0622,-62.051,85.1,65,27,5.26,scattered clouds
579,along,IN,28.1667,94.7667,77.5,94,1,2.59,clear sky
580,klamath falls,US,42.2249,-121.7817,70.48,63,0,1.01,clear sky
581,austin,US,30.2672,-97.7431,95.25,57,0,4.0,clear sky
582,gushikawa,JP,26.3544,127.8686,84.2,86,75,5.75,broken clouds
583,podor,MR,16.6527,-14.9587,100.35,39,0,2.3,clear sky
584,griffith,US,41.5284,-87.4237,78.06,65,0,4.61,clear sky
585,limbang,MY,4.75,115.0,78.91,88,88,1.81,overcast clouds
586,basco,PH,20.4487,121.9702,84.61,77,98,16.64,overcast clouds
587,bol,TD,13.4586,14.7147,82.24,68,59,6.71,broken clouds
588,wenatchee,US,47.4235,-120.3103,71.98,45,0,6.91,clear sky
589,yabelo,ET,4.8833,38.0833,66.29,54,98,4.36,overcast clouds
590,saldanha,ZA,-33.0117,17.9442,59.05,86,6,8.63,clear sky
591,pietersburg,ZA,-23.9045,29.4688,67.05,21,0,8.05,clear sky
592,kenai,US,60.5544,-151.2583,55.02,95,100,0.0,overcast clouds
593,codrington,AU,-38.2667,141.9667,43.86,97,23,8.75,few clouds
594,alexandria,EG,31.2156,29.9553,82.36,54,0,17.27,clear sky
595,luanda,AO,-8.8368,13.2343,73.4,78,0,10.36,clear sky
596,ternate,ID,0.8,127.4,80.56,77,99,1.99,overcast clouds
597,pemba,MZ,-12.974,40.5178,77.7,73,75,17.27,broken clouds
598,rusetu,RO,44.95,27.2167,90.25,22,80,7.94,broken clouds
599,baghdad,IQ,33.3406,44.4009,107.51,10,0,13.8,clear sky
600,puerto del rosario,ES,28.5004,-13.8627,76.75,73,0,19.57,clear sky
601,pavlivka,UA,49.4414,28.4596,75.58,55,13,7.31,few clouds
602,bud,US,39.447,-86.1758,81.68,60,0,5.23,clear sky
603,hamilton,US,39.1834,-84.5333,83.61,57,20,8.05,few clouds
604,meadow lake,US,34.8014,-106.5436,85.21,44,5,6.82,clear sky
605,dalvik,IS,65.9702,-18.5286,53.53,84,100,4.99,overcast clouds
606,yelovo,RU,57.0538,54.9207,72.77,84,92,3.15,overcast clouds
607,svetlogorsk,BY,52.6333,29.7333,70.2,61,3,12.5,clear sky
608,vardo,NO,70.3705,31.1107,53.58,94,40,4.61,light intensity drizzle
609,degollado,MX,20.467,-102.1498,73.36,52,10,2.77,clear sky
610,wabana,CA,47.6332,-52.9481,78.69,55,40,10.36,scattered clouds
611,hambantota,LK,6.1241,81.1185,80.94,89,40,8.05,scattered clouds
612,gizo,SB,-8.103,156.8419,81.3,74,59,7.58,broken clouds
613,karakol,KG,42.4907,78.3936,56.71,63,77,3.76,broken clouds
614,lazaro cardenas,MX,17.9583,-102.2,84.7,65,99,1.72,overcast clouds
615,kamina,CD,-8.7386,24.9906,78.84,28,33,7.43,scattered clouds
616,cururupu,BR,-1.8283,-44.8683,83.34,74,39,8.63,scattered clouds
617,smithers,CA,54.7804,-127.1743,50.32,93,100,3.44,light rain
618,rey bouba,CM,8.6724,14.1786,83.25,66,63,5.66,broken clouds
619,cabras,IT,39.93,8.5314,86.86,56,0,7.92,clear sky
620,eyl,SO,7.9803,49.8164,81.45,69,83,26.98,broken clouds
621,rosarito,MX,32.3333,-117.0333,68.49,73,42,5.82,scattered clouds
622,vagur,FO,61.4732,-6.8119,50.56,88,41,15.12,scattered clouds
623,ketchikan,US,55.3422,-131.6461,54.07,94,100,11.5,moderate rain
624,thinadhoo,MV,0.5333,72.9333,83.44,73,58,12.66,broken clouds
625,awbari,LY,26.5921,12.7805,95.11,17,0,12.28,clear sky
626,reconquista,AR,-29.15,-59.65,69.08,70,81,10.92,broken clouds
627,bushehr,IR,28.9684,50.8385,93.29,66,0,9.22,clear sky
628,balabac,PH,7.9868,117.0645,81.34,81,66,10.85,broken clouds
629,jiayuguan,CN,39.8167,98.3,67.21,58,100,6.08,overcast clouds
630,eresos,GR,39.1667,25.9333,80.89,49,0,22.01,clear sky
631,svetlaya,RU,46.5389,138.3297,58.75,97,100,11.86,overcast clouds
632,cumra,TR,37.5732,32.7745,80.74,27,0,16.02,clear sky
633,sabang,ID,5.8933,95.3214,83.1,78,27,17.0,scattered clouds
634,dali,CN,25.7,100.1833,66.92,83,10,3.56,clear sky
635,anloga,GH,5.7947,0.8973,77.23,83,79,14.94,broken clouds
636,urumqi,CN,43.801,87.6005,77.95,24,0,8.95,clear sky
637,nalut,LY,30.3333,10.85,93.69,9,0,9.95,clear sky
638,chengam,IN,12.3,78.8,80.51,57,76,19.19,broken clouds
639,grand-lahou,CI,5.1367,-5.0242,77.79,79,99,11.18,overcast clouds
640,conceicao do araguaia,BR,-8.2578,-49.2647,93.4,33,80,3.58,broken clouds
641,kungurtug,RU,50.5994,97.5228,46.27,97,96,2.98,overcast clouds
642,honiara,SB,-9.4333,159.95,74.97,79,79,3.6,broken clouds
643,shenzhen,CN,22.5455,114.0683,87.08,90,100,6.08,overcast clouds
644,yerofey pavlovich,RU,53.9667,121.9667,61.57,92,100,3.31,overcast clouds
645,oktyabrskiy,RU,54.4815,53.471,70.11,74,98,8.41,overcast clouds
646,fare,PF,-16.7,-151.0167,77.13,71,39,23.87,scattered clouds
647,preston,GB,53.7667,-2.7167,68.32,63,40,13.8,scattered clouds
648,rundu,NA,-17.9333,19.7667,70.92,23,0,5.28,clear sky
649,tupik,RU,54.4253,119.9327,60.71,95,100,3.11,overcast clouds
650,haveli,PK,30.4502,73.6989,88.18,60,91,8.21,overcast clouds
651,ivaipora,BR,-24.2478,-51.6847,75.94,46,71,11.32,broken clouds
652,kembe,CF,4.6228,21.8865,75.24,83,95,2.95,light rain
653,amparafaravola,MG,-17.5833,48.2167,58.59,90,70,5.73,broken clouds
654,tolaga bay,NZ,-38.3667,178.3,53.19,94,100,10.69,overcast clouds
655,kuching,MY,1.55,110.3333,75.42,100,40,1.99,scattered clouds
656,fallon,US,39.4735,-118.7774,79.45,23,0,3.44,smoke
657,charlestown,AU,-32.95,151.6667,52.74,79,52,5.99,broken clouds
658,kailua,US,21.4022,-157.7394,78.78,88,100,14.97,light rain
659,keetmanshoop,NA,-26.5833,18.1333,67.46,19,0,4.29,clear sky
660,magdalena,PH,14.1999,121.429,79.36,94,67,0.51,broken clouds
661,naantali,FI,60.4674,22.0243,65.07,59,75,18.41,broken clouds
662,uige,AO,-7.6087,15.0613,86.97,22,5,6.02,clear sky
663,mattru,SL,7.6244,-11.8332,77.99,89,92,5.3,moderate rain
664,praia da vitoria,PT,38.7333,-27.0667,77.25,78,75,15.26,broken clouds
665,esna,EG,25.2934,32.554,98.62,12,28,16.96,scattered clouds
666,obala,CM,4.1667,11.5333,74.68,93,48,4.59,moderate rain
667,mbandaka,CD,0.0487,18.2603,85.59,46,72,2.91,broken clouds
668,marawi,PH,7.9986,124.2928,69.8,95,100,1.23,overcast clouds
669,san felipe,VE,10.3399,-68.7425,86.52,52,60,5.23,broken clouds
670,sturgeon bay,US,44.8342,-87.377,69.76,63,0,4.61,clear sky
671,mountmellick,IE,53.1136,-7.32,71.69,61,100,4.0,overcast clouds
672,ust-maya,RU,60.4167,134.5333,66.49,76,59,1.19,broken clouds
673,sao joao da barra,BR,-21.6403,-41.0511,78.89,71,2,10.13,clear sky
674,puerto escondido,MX,15.85,-97.0667,84.99,64,100,6.55,overcast clouds
675,tautira,PF,-17.7333,-149.15,75.7,62,97,21.23,overcast clouds
676,clevelandia,BR,-26.3958,-52.4708,66.85,73,100,12.28,overcast clouds
677,ayagoz,KZ,47.9714,80.4392,65.28,47,19,7.25,few clouds
678,high level,CA,58.5169,-117.136,60.91,63,0,5.75,clear sky
679,batagay,RU,67.6333,134.6333,58.64,73,44,2.91,scattered clouds
680,kasongo,CD,-4.45,26.6667,87.12,29,80,2.19,broken clouds
681,suez,EG,29.9737,32.5263,87.73,36,2,20.76,clear sky
682,bubaque,GW,11.2833,-15.8333,80.28,80,90,9.17,light rain
683,almaznyy,RU,48.0448,40.045,73.87,40,14,15.39,few clouds
684,ayia marina,GR,37.75,23.5333,85.33,50,0,21.72,clear sky
685,teya,RU,60.3778,92.6267,47.59,76,56,1.72,broken clouds
686,yaan,NG,7.3833,8.5667,80.49,78,61,7.18,light rain
